Id	Text	Date	Source	RetweetCount
1002470723082809344	#Bankstrike: More participate on last day, services hit all over India  https://t.co/UUapEQuVIp https://t.co/YskbOx3jGd	2018-06-01 08:43:40	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	0
1002469686859239424	Commoners face problems due to two day nationwide bank strike Maharashtra: https://t.co/rwwWp6Uu8f via @YouTube	2018-06-01 08:39:32	"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>"	0
1002464307093934080	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-06-01 08:18:10	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002464305860743169	RT @WeBankerss: We believe that UFBU should wait for 1 week only, if within 1 week IBA doesn't come up with Improve offer, week long Strike…	2018-06-01 08:18:10	"<a href=""http://twblue.com.mx"" rel=""nofollow"">TW Blue</a>"	112
1002459735726088193	#BankStrike: 80 Lakh Cheques Uncleared  #MiddayNews NationalNews   Get all the latest news at… https://t.co/a6tIRCB1oO	2018-06-01 08:00:00	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	2
1002449347139665920	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-06-01 07:18:43	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002448241890242560	RT @INCIndia: BJP's mismanagement to cause yet another banking crisis. ATMs to run dry AGAIN as Govt fails to control #bankstrike.  https:/…	2018-06-01 07:14:20	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	391
1002444259939749888	RT @ShSantoshTiwari: After Bank 🏦 Strike the Server Down now what kind of Services are they giving to Common People's long queue in front o…	2018-06-01 06:58:30	"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>"	2
1002441930100412416	Bankstrike3AMoreparticipateonlastday2CserviceshitalloverIndia https://t.co/adKFJQNG16	2018-06-01 06:49:15	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0
1002433568537227265	RT @tiago_sebago: I was managing a Patient with Extapulmonary TB, did his labs and realized he was severely anemic, quickly went to the blo…	2018-06-01 06:16:01	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1
1002432370249732098	48-hour bank strike from Wednesday - Times of India https://t.co/iCuIVqmTWh #Guwahati #News	2018-06-01 06:11:16	"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>"	0
1002421601504256000	“The #Strike was a total success. If there is 80 per cent participation as per the #IBA (management) figures, it ef… https://t.co/eILWtV9uUD	2018-06-01 05:28:28	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0
1002419981202673664	Bank employees, farmers on strike. https://t.co/PfyBGesH30	2018-06-01 05:22:02	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0
1002416024287768576	@kanak_news No trouble at all to common people as they aware  about strike. Very few fool's may faced problem. Medi… https://t.co/bLcMhSKRy7	2018-06-01 05:06:18	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0
1002406443713101829	RT @ZeeNews: Bank unions claim two-day strike a success, IBA to be blamed for mess https://t.co/dzobeGMtSW https://t.co/NAYjqcgU49	2018-06-01 04:28:14	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	8
1002401654585548800	@narendramodi @rsprasad How 30-31 May bank strike had little effect on Bank Customers. Courtesy : WILL be a boost for Digital India.	2018-06-01 04:09:12	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0
1002399408703655937	@TrulyMonica There is a 2  day bank strike so wait	2018-06-01 04:00:17	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>"	0
1002398410995949568	RT @WeBankerss: We believe that UFBU should wait for 1 week only, if within 1 week IBA doesn't come up with Improve offer, week long Strike…	2018-06-01 03:56:19	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	112
1002391987511848961	RT @koushiks1: Average salary of BOB in FY 2017 was more than HDFC Bank. This is despite top &amp; middle mgmt of BOB being paid less than HDFC…	2018-06-01 03:30:48	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	22
1002390840419893250	RT @WeBankerss: We believe that UFBU should wait for 1 week only, if within 1 week IBA doesn't come up with Improve offer, week long Strike…	2018-06-01 03:26:14	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	112
1002388935291498496	Two days bank strike called by us was a big success.  Thanks for the participation	2018-06-01 03:18:40	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0
1002383912868298752	@DainikBhaskar no news about bank strike.  I am going to unsubscribe you. I hate Godi media   @WeBankerss	2018-06-01 02:58:42	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0
1002381133252882433	RT @WeBankerss: We believe that UFBU should wait for 1 week only, if within 1 week IBA doesn't come up with Improve offer, week long Strike…	2018-06-01 02:47:40	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	112
